time,c1,c2
0,3850.0,-3650.0
20,3810.0,-3580.0
40,3750.0,-3980.0
60,3960.0,-3530.0
80,3830.0,-3800.0
100,3800.0,-3920.0
120,3900.0,-3610.0
140,3900.0,-3740.0
160,3930.0,-3780.0
180,3800.0,-3750.0
200,3820.0,-3680.0
220,3910.0,-3590.0
240,3970.0,-3490.0
260,3950.0,-3930.0
280,3940.0,-3590.0
300,3860.0,-3860.0
320,3950.0,-3680.0
340,3960.0,-3730.0
360,3890.0,-3820.0
380,3940.0,-3590.0
400,3930.0,-3650.0
420,3590.0,-3800.0
440,3860.0,-3740.0
460,3910.0,-3810.0
480,3950.0,-3680.0
500,3970.0,-3610.0
520,3940.0,-3720.0
540,3940.0,-3610.0
560,3820.0,-3650.0
580,3610.0,-3660.0
600,3890.0,-3580.0
620,3960.0,-3990.0
640,3910.0,-3600.0
660,3920.0,-3750.0
680,3930.0,-3780.0
700,4000.0,-3720.0
720,3960.0,-3840.0
740,3880.0,-3610.0
760,3870.0,-3670.0
780,3800.0,-3740.0
800,3800.0,-3710.0
820,3850.0,-3670.0
840,3910.0,-3620.0
860,3920.0,-3720.0
880,3930.0,-3710.0
900,3950.0,-3760.0
920,3970.0,-3670.0
940,3800.0,-3590.0
960,3890.0,-3660.0
980,3920.0,-4020.0
1000,3940.0,-3710.0
1020,3930.0,-3750.0
1040,3890.0,-3670.0
1060,3910.0,-3780.0
1080,4030.0,-3830.0
1100,3980.0,-3710.0
1120,3940.0,-3670.0
1140,3970.0,-3660.0
1160,3790.0,-3710.0
1180,3860.0,-3670.0
1200,3880.0,-3720.0
1220,3850.0,-3650.0
1240,3910.0,-3650.0
1260,3900.0,-3620.0
1280,3910.0,-3730.0
1300,3930.0,-3750.0
1320,3950.0,-3800.0
1340,3890.0,-3640.0
1360,3680.0,-3660.0
1380,3920.0,-3920.0
1400,3840.0,-3680.0
1420,3910.0,-3600.0
1440,3930.0,-3780.0
1460,3940.0,-3660.0
1480,3880.0,-3640.0
1500,3900.0,-3640.0
1520,3830.0,-3700.0
1540,3950.0,-3580.0
1560,3960.0,-3800.0
